,,,,,,,,,
Tag,,First weight date,,,,First Weight,,,Latest Weight Date
UK702881601903,,08/10/2025,,,,580.00,,,08/10/2025
UK702881602379,,08/10/2025,,,,632.00,,,08/10/2025
UK702881602799,,08/10/2025,,,,620.00,,,08/10/2025
UK702881602806,,08/10/2025,,,,584.00,,,08/10/2025
UK702881602869,,08/10/2025,,,,670.00,,,08/10/2025
UK702881602911,,08/10/2025,,,,496.00,,,08/10/2025
UK702881602953,,08/10/2025,,,,590.00,,,08/10/2025
UK702881603016,,08/10/2025,,,,596.00,,,08/10/2025
UK702881603331,,08/10/2025,,,,668.00,,,08/10/2025
UK702881603387,,08/10/2025,,,,576.00,,,08/10/2025
UK702881603464,,08/10/2025,,,,606.00,,,08/10/2025
UK702881603569,,08/10/2025,,,,636.00,,,08/10/2025
UK702881603695,,08/10/2025,,,,532.00,,,08/10/2025
UK702881603709,,08/10/2025,,,,600.00,,,08/10/2025
UK702881603730,,08/10/2025,,,,656.00,,,08/10/2025
UK702881603751,,08/10/2025,,,,616.00,,,08/10/2025
UK702881603793,,08/10/2025,,,,606.00,,,08/10/2025
UK702881603814,,08/10/2025,,,,630.00,,,08/10/2025
UK702881603835,,08/10/2025,,,,514.00,,,08/10/2025
UK702881603940,,08/10/2025,,,,640.00,,,08/10/2025
UK702881604206,,08/10/2025,,,,616.00,,,08/10/2025
UK702881604213,,08/10/2025,,,,540.00,,,08/10/2025
UK702881604220,,08/10/2025,,,,544.00,,,08/10/2025
UK702881604227,,08/10/2025,,,,550.00,,,08/10/2025
UK702881604234,,08/10/2025,,,,548.00,,,08/10/2025
UK702881604241,,08/10/2025,,,,586.00,,,08/10/2025
UK702881604283,,08/10/2025,,,,570.00,,,08/10/2025
UK702881604325,,08/10/2025,,,,622.00,,,08/10/2025
UK702881604332,,08/10/2025,,,,594.00,,,08/10/2025
UK702881604339,,08/10/2025,,,,564.00,,,08/10/2025
UK702881604353,,08/10/2025,,,,604.00,,,08/10/2025
UK702881604374,,08/10/2025,,,,564.00,,,08/10/2025
UK702881604381,,08/10/2025,,,,546.00,,,08/10/2025
UK702881604402,,08/10/2025,,,,622.00,,,08/10/2025
UK702881604409,,08/10/2025,,,,616.00,,,08/10/2025
UK702881604507,,08/10/2025,,,,558.00,,,08/10/2025
UK702881604682,,08/10/2025,,,,512.00,,,08/10/2025
UK702881604689,,08/10/2025,,,,602.00,,,08/10/2025
UK702881604752,,08/10/2025,,,,530.00,,,08/10/2025
UK702881604829,,08/10/2025,,,,576.00,,,08/10/2025
UK702881604906,,08/10/2025,,,,538.00,,,08/10/2025
UK702881604913,,08/10/2025,,,,490.00,,,08/10/2025
UK702881604983,,08/10/2025,,,,588.00,,,08/10/2025
UK702881605046,,08/10/2025,,,,514.00,,,08/10/2025
UK702881605060,,08/10/2025,,,,558.00,,,08/10/2025
UK702881605242,,08/10/2025,,,,492.00,,,08/10/2025
UK702881605249,,08/10/2025,,,,510.00,,,08/10/2025
UK702881605256,,08/10/2025,,,,520.00,,,08/10/2025
UK702881605291,,08/10/2025,,,,464.00,,,08/10/2025
UK702881605298,,08/10/2025,,,,420.00,,,08/10/2025
UK702881605354,,08/10/2025,,,,488.00,,,08/10/2025
UK702881605361,,08/10/2025,,,,460.00,,,08/10/2025
UK702881605368,,08/10/2025,,,,470.00,,,08/10/2025
UK702881605375,,08/10/2025,,,,486.00,,,08/10/2025
UK702881605431,,08/10/2025,,,,394.00,,,08/10/2025
UK702881605438,,08/10/2025,,,,510.00,,,08/10/2025
UK702881605466,,08/10/2025,,,,476.00,,,08/10/2025
UK702881605480,,08/10/2025,,,,486.00,,,08/10/2025
UK702881605536,,08/10/2025,,,,432.00,,,08/10/2025
UK702881701862,,08/10/2025,,,,518.00,,,08/10/2025
UK702881701939,,08/10/2025,,,,584.00,,,08/10/2025
UK702881702303,,08/10/2025,,,,586.00,,,08/10/2025
UK702881702310,,08/10/2025,,,,745.00,,,08/10/2025
UK702881702429,,08/10/2025,,,,542.00,,,08/10/2025
UK702881702779,,08/10/2025,,,,536.00,,,08/10/2025
UK702881702828,,08/10/2025,,,,524.00,,,08/10/2025
UK702881703010,,08/10/2025,,,,554.00,,,08/10/2025
UK702881703115,,08/10/2025,,,,652.00,,,08/10/2025
UK702881703374,,08/10/2025,,,,548.00,,,08/10/2025
UK702881703745,,08/10/2025,,,,532.00,,,08/10/2025
UK702881703752,,08/10/2025,,,,578.00,,,08/10/2025
UK702881703766,,08/10/2025,,,,594.00,,,08/10/2025
UK702881703836,,08/10/2025,,,,572.00,,,08/10/2025
